Year,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
2023-2024,Boston Celtics,E,A,64,18,0.780,11.34,124.23,112.51,11.71,10.74,123.81,112.70,11.11
2023-2024,Oklahoma City Thunder,W,NW,57,25,0.695,7.41,120.43,113.12,7.31,7.36,120.49,113.23,7.26
2023-2024,Minnesota Timberwolves,W,NW,56,26,0.683,6.45,116.63,109.98,6.65,6.38,116.53,109.95,6.57
2023-2024,Denver Nuggets,W,NW,57,25,0.695,5.26,119.49,114.05,5.44,5.23,119.60,114.20,5.40
2023-2024,New York Knicks,E,A,50,32,0.610,4.59,119.11,114.22,4.89,4.36,118.93,114.28,4.66
2023-2024,New Orleans Pelicans,W,SW,49,33,0.598,4.41,118.31,113.70,4.61,4.46,118.40,113.75,4.65
2023-2024,Los Angeles Clippers,W,P,51,31,0.622,3.28,119.75,116.51,3.24,3.41,119.97,116.59,3.37
2023-2024,Phoenix Suns,W,P,49,33,0.598,3.06,118.78,115.69,3.09,3.08,118.83,115.73,3.10
2023-2024,Golden State Warriors,W,P,46,36,0.561,2.61,118.67,115.95,2.72,2.77,118.76,115.89,2.87
2023-2024,Indiana Pacers,E,C,47,35,0.573,3.05,121.85,118.85,2.99,2.75,121.73,119.03,2.70
2023-2024,Philadelphia 76ers,E,A,47,35,0.573,3.05,117.79,114.76,3.02,2.51,117.50,115.01,2.49
2023-2024,Milwaukee Bucks,E,C,49,33,0.598,2.62,119.12,116.49,2.64,2.44,119.00,116.53,2.46
2023-2024,Sacramento Kings,W,P,46,36,0.561,1.74,117.68,116.01,1.67,2.29,117.91,115.68,2.23
2023-2024,Dallas Mavericks,W,SW,50,32,0.610,2.21,118.38,116.28,2.09,2.30,118.60,116.42,2.18
2023-2024,Cleveland Cavaliers,E,C,48,34,0.585,2.41,116.21,113.80,2.41,1.98,115.88,113.91,1.97
2023-2024,Orlando Magic,E,SE,47,35,0.573,2.02,114.36,112.26,2.10,1.48,113.95,112.40,1.55
2023-2024,Houston Rockets,W,SW,41,41,0.500,1.12,115.34,114.22,1.12,1.24,115.40,114.17,1.23
2023-2024,Miami Heat,E,SE,46,36,0.561,1.76,114.95,113.31,1.64,1.10,114.55,113.57,0.98
2023-2024,Los Angeles Lakers,W,P,47,35,0.573,0.60,116.69,116.21,0.47,1.07,117.00,116.04,0.95
2023-2024,Chicago Bulls,E,C,39,43,0.476,-1.44,115.83,117.46,-1.64,-1.77,115.71,117.66,-1.95
2023-2024,Atlanta Hawks,E,SE,36,46,0.439,-2.18,118.16,120.25,-2.09,-2.38,118.16,120.45,-2.29
2023-2024,Brooklyn Nets,E,A,32,50,0.390,-2.89,114.14,117.13,-2.99,-3.02,114.06,117.16,-3.11
2023-2024,Utah Jazz,W,NW,31,51,0.378,-4.89,116.38,121.39,-5.01,-4.22,116.85,121.18,-4.33
2023-2024,San Antonio Spurs,W,SW,22,60,0.268,-6.49,110.85,117.18,-6.32,-5.80,111.19,116.83,-5.64
2023-2024,Toronto Raptors,E,A,25,57,0.305,-6.44,113.14,119.68,-6.54,-6.45,113.04,119.57,-6.54
2023-2024,Memphis Grizzlies,W,SW,27,55,0.329,-7.00,108.12,115.30,-7.18,-6.57,108.28,115.02,-6.74
2023-2024,Portland Trail Blazers,W,NW,21,61,0.256,-9.02,109.34,118.60,-9.26,-8.29,109.65,118.16,-8.51
2023-2024,Detroit Pistons,E,C,14,68,0.171,-9.11,110.42,119.51,-9.09,-9.06,110.43,119.48,-9.05
2023-2024,Washington Wizards,E,SE,15,67,0.183,-9.29,111.12,120.22,-9.10,-9.29,111.11,120.21,-9.11
2023-2024,Charlotte Hornets,E,SE,21,61,0.256,-10.24,110.27,120.89,-10.63,-10.12,110.23,120.71,-10.48
