Year,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
2008-2009,Cleveland Cavaliers,E,C,66,16,0.805,8.93,113.29,103.20,10.09,8.68,113.18,103.37,9.80
2008-2009,Boston Celtics,E,A,62,20,0.756,7.51,111.25,103.02,8.24,7.44,111.21,103.05,8.16
2008-2009,Los Angeles Lakers,W,P,65,17,0.793,7.66,113.43,105.29,8.14,7.11,113.00,105.45,7.55
2008-2009,Orlando Magic,E,SE,59,23,0.720,6.70,109.66,102.58,7.08,6.49,109.52,102.66,6.86
2008-2009,Portland Trail Blazers,W,NW,54,28,0.659,5.34,114.74,108.68,6.06,5.00,114.62,108.94,5.67
2008-2009,Houston Rockets,W,SW,53,29,0.646,4.00,109.22,104.67,4.55,3.73,108.94,104.69,4.25
2008-2009,San Antonio Spurs,W,SW,54,28,0.659,3.76,109.18,105.01,4.17,3.36,108.79,105.05,3.74
2008-2009,Denver Nuggets,W,NW,54,28,0.659,3.41,111.03,107.68,3.35,3.13,110.83,107.78,3.05
2008-2009,Utah Jazz,W,NW,48,34,0.585,2.65,110.84,107.89,2.96,2.31,110.52,107.93,2.59
2008-2009,Atlanta Hawks,E,SE,47,35,0.573,1.57,110.28,108.43,1.84,1.70,110.49,108.51,1.98
2008-2009,Dallas Mavericks,W,SW,50,32,0.610,1.98,111.20,109.14,2.06,1.68,111.03,109.29,1.74
2008-2009,Phoenix Suns,W,P,46,36,0.561,1.93,114.20,112.30,1.89,1.62,114.12,112.55,1.57
2008-2009,New Orleans Hornets,W,SW,49,33,0.598,1.55,109.75,108.07,1.68,1.41,109.60,108.07,1.53
2008-2009,Miami Heat,E,SE,43,39,0.524,0.26,108.34,108.28,0.06,0.49,108.56,108.24,0.32
2008-2009,Philadelphia 76ers,E,A,41,41,0.500,0.07,108.79,108.79,0.00,0.16,108.89,108.79,0.10
2008-2009,Chicago Bulls,E,C,41,41,0.500,-0.28,109.32,109.54,-0.22,-0.16,109.48,109.57,-0.09
2008-2009,Detroit Pistons,E,C,39,43,0.476,-0.49,108.21,108.79,-0.58,-0.36,108.34,108.78,-0.44
2008-2009,Indiana Pacers,E,C,36,46,0.439,-1.11,108.76,109.88,-1.12,-0.76,109.13,109.86,-0.73
2008-2009,Milwaukee Bucks,E,C,34,48,0.415,-1.09,107.44,108.61,-1.18,-0.87,107.60,108.54,-0.94
2008-2009,Charlotte Bobcats,E,SE,35,47,0.427,-1.27,105.42,107.01,-1.59,-1.19,105.43,106.93,-1.50
2008-2009,New York Knicks,E,A,32,50,0.390,-2.61,108.70,111.41,-2.71,-2.33,109.03,111.44,-2.41
2008-2009,New Jersey Nets,E,A,34,48,0.415,-2.44,109.14,111.85,-2.71,-2.31,109.33,111.89,-2.56
2008-2009,Toronto Raptors,E,A,33,49,0.402,-2.82,107.72,110.69,-2.97,-2.53,107.99,110.66,-2.66
2008-2009,Golden State Warriors,W,P,29,53,0.354,-3.74,109.94,113.76,-3.82,-3.80,109.98,113.86,-3.89
2008-2009,Minnesota Timberwolves,W,NW,24,58,0.293,-4.91,106.75,112.18,-5.43,-4.74,106.78,112.00,-5.23
2008-2009,Memphis Grizzlies,W,SW,24,58,0.293,-5.46,104.51,110.62,-6.12,-5.22,104.48,110.33,-5.84
2008-2009,Oklahoma City Thunder,W,NW,23,59,0.280,-6.10,103.59,110.06,-6.47,-6.03,103.41,109.82,-6.41
2008-2009,Washington Wizards,E,SE,19,63,0.232,-7.46,105.98,114.23,-8.26,-6.98,106.39,114.11,-7.73
2008-2009,Sacramento Kings,W,P,17,65,0.207,-8.76,106.30,115.64,-9.34,-8.59,106.32,115.50,-9.18
2008-2009,Los Angeles Clippers,W,P,19,63,0.232,-8.77,102.87,112.52,-9.65,-8.46,102.84,112.16,-9.31
